Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
2.95,0.040,0.020,,,,
3.00,0.080,0.090,,,,
3.03,0.060,0.050,,,,
3.03,0.050,0.040,,,,
2.78,0.100,0.100,,,,
3.01,0.090,0.080,,,,
2.99,,0.090,,,,
3.04,,0.110,,,,
2.90,,0.200,,,,
2.87,,0.140,,,,
2.97,,0.050,,,,
3.02,,0.140,,,,
3.02,,0.150,,,,
2.42,,0.210,,,,
2.98,,0.060,,,,
3.04,,0.080,,,,
2.98,,0.070,,,,
2.84,0.200,0.190,,,,
2.85,0.230,0.210,,,,
2.84,0.210,0.190,,,,
2.83,0.240,0.210,,,,
3.02,0.020,0.010,,,,
3.07,0.020,0.010,,,,
2.72,0.040,0.040,,,,
2.98,0.030,0.020,,,,
3.04,0.030,0.020,,,,
3.01,0.040,0.020,,,,
2.97,0.030,0.030,,,,
3.00,0.020,0.010,,,,
3.11,0.120,0.110,,,,
3.09,0.140,0.100,,,,
3.01,0.060,0.030,,,,
3.04,0.020,0.010,,,,
2.99,0.060,0.060,,,,
3.01,0.020,0.020,,,,
3.10,0.100,0.100,,,,
2.61,0.120,0.090,,,,
2.73,0.050,0.020,,,,
2.94,0.040,0.020,,,,
3.00,0.020,0.020,,,,
3.04,0.020,0.010,,,,
2.62,0.220,0.190,,,,
3.11,0.040,0.040,,,,
3.08,0.060,0.040,,,,
3.07,0.050,0.040,,,,
2.99,0.060,0.050,,,,
2.96,0.080,0.070,,,,
3.04,0.030,0.020,,,,
3.03,0.040,0.020,,,,
3.04,0.030,0.020,,,,
3.03,0.040,0.030,,,,
3.07,0.040,0.040,,,,
3.04,0.040,0.030,,,,
3.11,0.150,0.130,,,,
3.00,0.040,0.030,,,,
3.09,0.080,0.080,,,,
2.60,0.010,0.010,,,,
2.85,0.110,0.100,,,,
2.60,,0.230,,,,
2.72,,0.370,,,,
2.62,,0.350,,,,
2.57,0.030,0.040,,,,
2.46,0.010,0.010,,,,
2.45,0.110,0.060,,,,
3.00,0.240,0.170,,,,
2.45,0.220,0.080,,,,
2.54,0.090,0.050,,,,
2.52,0.230,0.180,,,,
2.52,0.020,0.010,,,,
2.39,0.265,0.110,,,,
3.06,0.140,0.040,,,,
3.07,0.170,0.060,,,,
2.81,0.290,0.120,,,,
2.69,0.420,0.350,,,,
2.53,0.140,0.110,,,,
2.79,0.190,0.050,,,,
2.88,0.040,0.010,,,,
2.39,0.570,0.530,,,,
3.07,0.130,0.120,,,,
2.96,0.060,0.040,,,,
2.97,0.120,0.060,,,,
3.04,0.350,0.290,,,,
2.70,0.155,0.170,,,,
2.87,0.045,0.035,,,,
2.92,,0.040,,,,
2.97,,0.020,,,,
3.02,,0.020,,,,
3.01,,0.020,,,,
2.96,,0.010,,,,
2.56,,0.240,,,,
2.46,,0.210,,,,
2.82,,0.200,,,,
2.98,,0.020,,,,
2.86,,0.040,,,,
2.91,,0.000,,,,
3.01,,0.000,,,,
2.98,,0.001,,,,
2.90,,0.001,,,,
3.00,,0.001,,,,
2.51,0.160,0.120,,,,
2.49,0.160,0.100,,,,
2.51,0.160,0.150,,,,
2.46,0.070,0.030,,,,
2.52,0.260,0.230,,,,
2.57,0.330,0.320,,,,
2.45,0.190,0.110,,,,
2.51,0.090,0.040,,,,
2.54,0.160,0.110,,,,
2.48,0.140,0.070,,,,
2.56,0.300,0.270,,,,
3.04,0.280,0.160,,,,
3.04,0.340,0.230,,,,
3.07,0.260,0.180,,,,
2.48,0.230,0.180,,,,
2.51,0.160,0.130,,,,
2.45,0.120,0.070,,,,
2.49,0.090,0.030,,,,
2.62,0.280,0.170,,,,
2.59,0.160,0.130,,,,
2.44,0.020,0.010,,,,
