Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
3.04,,0.318,1.91E-16,,3.33E-16,1.11
3.04,,0.289,4.77E-16,,8.02E-16,1.32
3.05,,0.293,2.05E-16,,3.56E-16,1.30
3.04,,0.312,1.38E-16,,2.45E-16,1.12
3.04,,0.333,2.99E-16,,5.13E-16,
3.04,,0.314,1.33E-16,,2.36E-16,
3.05,,0.295,3.95E-15,,6.07E-15,
3.05,,0.303,1.33E-16,,2.36E-16,1.40
3.04,,0.310,1.60E-16,,2.81E-16,
3.05,,0.274,1.51E-16,,2.66E-16,
3.04,,0.305,2.53E-16,,4.37E-16,
3.04,,0.317,1.69E-16,,2.96E-16,
3.08,,0.110,7.07E-15,,1.06E-14,
3.08,,0.127,1.87E-15,,2.96E-15,
3.07,,0.129,2.18E-15,,3.43E-15,
3.08,,0.131,3.63E-16,,6.18E-16,
3.07,,0.110,3.36E-15,,5.19E-15,1.62
3.07,,0.120,1.08E-14,,1.58E-14,1.13
3.07,,0.113,1.43E-14,,2.06E-14,1.21
3.07,,0.111,4.29E-16,,7.25E-16,1.38
3.08,,0.113,1.18E-14,,1.72E-14,1.42
3.07,,0.117,8.60E-15,,1.27E-14,
3.06,,0.124,1.04E-14,,1.52E-14,
3.06,,0.118,9.37E-15,,1.38E-14,1.59
3.07,,0.133,2.18E-14,,3.09E-14,
3.07,,0.120,1.14E-15,,1.86E-15,1.57
3.06,,0.126,3.71E-15,,5.71E-15,
3.07,,0.115,6.11E-15,,9.19E-15,1.49
3.06,,0.121,6.36E-15,,9.55E-15,
3.06,,0.116,1.44E-14,,2.08E-14,
3.06,,0.125,1.04E-14,,1.53E-14,
3.06,,0.233,1.23E-16,,2.18E-16,1.27
3.06,,0.250,1.78E-16,,3.12E-16,
3.06,,0.244,2.49E-16,,4.30E-16,1.22
3.05,,0.224,1.00E-16,,1.80E-16,1.97
3.05,,0.264,1.16E-16,,2.06E-16,1.17
2.15,,0.477,7.39E-13,2.69E-13,7.57E-13,
2.19,,0.458,2.58E-13,1.59E-15,4.02E-13,
2.61,,0.068,2.57E-17,,4.64E-17,
2.81,,0.005,4.74E-17,,8.29E-17,
2.63,,0.066,4.64E-17,,8.98E-17,
2.90,,0.042,,,,
2.85,,0.060,2.66E-17,,7.40E-17,
2.90,,0.028,1.68E-17,,3.06E-17,
2.71,,0.063,4.24E-17,,9.38E-17,
2.71,,0.051,1.38E-17,,2.66E-17,
2.83,,0.004,1.18E-17,,2.17E-17,
2.81,,0.004,9.87E-18,,1.88E-17,
2.82,,0.011,2.66E-17,,4.84E-17,
2.80,,0.036,1.18E-17,,2.27E-17,
3.09,,0.095,8.38E-16,,1.13E-15,
3.09,,0.170,6.51E-16,3.50E-17,9.62E-16,
2.72,,0.178,8.35E-15,3.95E-18,1.06E-14,
3.06,,0.104,2.37E-17,,3.14E-16,
2.93,,0.178,1.33E-16,,1.77E-16,
2.89,,0.196,4.95E-17,4.93E-18,7.32E-17,
2.93,,0.008,1.18E-17,,1.63E-17,
3.07,,0.051,1.68E-17,,2.27E-17,
2.87,,0.018,7.70E-17,,1.35E-16,
3.06,,0.087,1.48E-17,,2.12E-17,
3.03,,0.073,1.78E-17,,2.02E-17,
3.03,,0.067,2.07E-17,,3.75E-17,
2.84,,0.339,8.57E-13,,8.97E-13,
2.86,,0.267,2.64E-14,4.42E-15,2.48E-14,
3.00,,0.271,,,,
3.06,,0.056,3.06E-17,,4.74E-17,
3.04,,0.072,5.43E-18,,1.09E-17,
2.96,,0.071,1.85E-16,,2.86E-16,
2.92,,0.013,8.88E-18,,1.78E-17,
2.75,,0.007,1.18E-17,,2.27E-17,
2.88,,0.011,1.18E-17,,2.37E-17,
2.66,,0.124,2.17E-16,,3.76E-16,
2.66,,0.006,1.78E-17,,3.26E-17,
2.75,,0.014,8.88E-18,,1.78E-17,
2.95,,0.050,2.07E-17,,3.85E-17,
2.69,,0.004,7.90E-18,,1.58E-17,
2.88,,0.007,7.90E-18,,1.58E-17,
3.10,,0.017,4.91E-16,,6.66E-16,
2.91,,0.010,1.28E-17,,2.37E-17,
3.21,,0.011,1.38E-17,,2.47E-17,
2.98,,0.011,1.18E-17,,2.27E-17,
2.94,,0.068,1.41E-17,,2.96E-17,
2.96,,0.108,4.56E-16,1.58E-17,5.55E-16,
,,0.000,,,,
2.87,,0.003,,,,
2.85,0.269,0.253,1.01E-16,,1.72E-16,
2.78,0.125,0.124,2.96E-18,,6.91E-18,
2.75,0.165,0.164,4.93E-18,,1.18E-17,
2.71,0.216,0.213,4.84E-17,,9.18E-17,
2.61,0.157,0.157,1.79E-16,,2.16E-16,
2.82,0.160,0.160,1.09E-17,,2.37E-17,
2.95,0.173,0.172,7.01E-17,,1.24E-16,
2.84,0.217,0.216,5.92E-18,,1.38E-17,
2.61,0.327,0.319,,,,
2.85,0.132,0.121,1.53E-17,,2.81E-17,
2.67,0.113,0.113,4.93E-18,,1.09E-17,
2.81,0.184,0.176,6.61E-17,,9.67E-17,
2.82,0.118,0.117,6.91E-18,,9.87E-18,
2.68,0.190,0.184,7.01E-17,,1.33E-16,
,,,,,,
,,,,,,
,,,,,,
2.82,,,,,,
2.81,0.149,0.146,1.68E-17,7.90E-18,3.75E-17,
,,0.000,,,,
2.77,0.148,0.149,2.86E-17,3.95E-18,4.15E-17,2.77
2.83,0.143,0.136,,5.92E-18,,
2.82,0.165,0.150,1.88E-17,5.92E-18,4.15E-17,
2.78,0.164,0.161,2.66E-17,6.91E-18,5.43E-17,2.52
2.81,0.163,0.155,5.43E-17,1.38E-17,7.60E-17,
2.81,0.176,0.175,4.93E-17,1.28E-17,8.98E-17,
2.80,0.189,0.185,1.03E-16,3.65E-17,1.41E-16,
2.81,0.244,0.197,1.41E-16,1.21E-16,2.89E-16,
2.52,,0.431,5.38E-13,,5.65E-13,
2.63,,0.376,1.45E-12,,1.51E-12,
2.64,,0.426,2.82E-12,,2.92E-12,
2.63,,0.157,1.50E-14,,1.85E-14,
2.28,,0.298,5.65E-14,,6.46E-14,
2.58,,0.343,3.05E-14,,3.61E-14,
2.53,,0.303,3.16E-14,,3.74E-14,
2.52,,0.379,1.05E-12,,1.10E-12,
2.64,,0.403,1.22E-11,,1.21E-11,
2.68,,0.533,4.66E-12,,4.78E-12,
2.54,,0.423,2.01E-12,,2.09E-12,
2.63,,0.498,1.20E-11,,1.19E-11,
2.69,,0.439,5.44E-12,,5.56E-12,
2.75,,0.424,6.38E-12,,6.50E-12,
2.67,,0.399,1.66E-12,,1.73E-12,
2.76,,0.404,4.70E-12,,4.83E-12,
2.32,,0.151,1.40E-15,,1.97E-15,
2.48,,0.153,6.62E-15,,8.56E-15,
2.43,,0.254,1.19E-14,,1.49E-14,
2.53,,0.293,7.28E-14,,8.21E-14,
2.45,,0.216,2.45E-16,,3.82E-16,
2.42,,0.145,1.41E-15,,1.98E-15,
2.51,,0.233,1.78E-15,,2.48E-15,
,,,,,,
2.80,,0.260,3.82E-17,,6.61E-17,
2.82,,0.231,1.42E-18,,2.96E-18,
2.52,,0.268,3.00E-15,,4.06E-15,
,,,,,,
2.77,,0.234,1.21E-16,,1.95E-16,
2.61,,0.336,1.00E-16,,1.64E-16,
2.75,,0.334,1.94E-11,,1.86E-11,
2.45,,0.380,2.24E-12,,2.33E-12,
2.45,,0.390,1.54E-12,,1.60E-12,
2.72,,0.346,7.64E-12,,7.72E-12,
2.66,,0.447,5.81E-12,,5.92E-12,
2.57,,0.367,1.71E-13,,1.84E-13,
2.75,,0.463,1.54E-11,,1.50E-11,
2.70,,0.455,4.44E-12,,4.56E-12,
2.48,,0.448,2.56E-13,,2.68E-13,
2.78,,0.461,2.39E-11,,2.25E-11,
2.53,,0.172,8.52E-15,,1.09E-14,
2.46,,0.241,1.28E-14,,1.60E-14,
2.56,,0.377,2.52E-13,,2.64E-13,
2.60,,0.312,1.50E-14,,1.85E-14,
2.65,,0.312,7.95E-15,,1.02E-14,
2.62,,0.334,1.38E-14,,1.71E-14,
2.55,,0.348,8.92E-13,,9.35E-13,
2.58,,0.250,1.42E-13,,1.54E-13,
2.63,,0.349,3.62E-12,,3.73E-12,
2.87,,0.398,1.24E-12,,1.29E-12,
2.62,,0.336,1.26E-12,,1.32E-12,
2.64,,0.348,2.00E-12,,2.08E-12,
2.52,,0.385,1.31E-12,,1.26E-12,
2.63,,0.397,2.27E-13,,2.39E-13,
2.60,,0.406,9.35E-13,,9.13E-13,
2.70,,0.437,3.29E-13,,3.45E-13,
2.72,,0.374,9.50E-12,,8.13E-12,
2.59,,0.211,7.44E-15,,9.55E-15,
2.68,,0.281,2.46E-12,,2.27E-12,
2.62,,0.254,3.52E-17,,6.12E-17,
2.48,,0.457,4.66E-14,,5.39E-14,
2.42,,0.122,6.59E-15,,8.52E-15,
2.86,,0.227,8.14E-16,,1.18E-15,
2.43,,0.284,2.94E-15,,3.98E-15,
2.46,,0.197,4.10E-15,,5.44E-15,
2.64,,0.269,8.92E-17,,1.47E-16,
2.37,,0.104,4.54E-15,,5.99E-15,
2.30,,0.145,2.94E-15,,3.98E-15,
2.49,,0.232,3.38E-14,,3.98E-14,
2.42,,0.103,3.37E-15,,4.52E-15,
2.35,,0.095,2.09E-14,,2.53E-14,
2.54,,0.269,6.77E-15,,8.73E-15,
2.50,,0.460,3.49E-13,,3.60E-13,
2.44,,0.419,8.61E-15,,1.10E-14,
2.50,,0.379,1.28E-16,,1.35E-16,
2.57,,0.353,8.92E-13,,9.35E-13,
2.62,,0.457,2.48E-12,,2.57E-12,
2.68,,0.335,2.39E-12,,2.48E-12,
2.70,,0.398,1.21E-12,,1.26E-12,
2.76,,0.405,1.25E-11,,1.23E-11,
2.57,,0.392,1.00E-12,,1.05E-12,
2.67,,0.366,1.48E-12,,1.55E-12,
2.69,,0.334,4.58E-12,,4.08E-12,
2.67,,0.221,2.46E-14,,2.59E-14,
2.66,,0.377,3.82E-12,,3.94E-12,
2.66,,0.441,8.90E-12,,7.64E-12,
2.61,,0.321,2.96E-13,,3.11E-13,
2.70,,0.438,4.62E-12,,4.74E-12,
2.46,,0.374,1.06E-12,,1.11E-12,
2.48,,0.494,6.76E-12,,6.86E-12,
2.75,,0.412,9.11E-12,,7.82E-12,
2.59,,0.400,8.67E-14,,9.68E-14,
2.43,,0.181,9.59E-16,,1.38E-15,
2.67,,0.282,1.97E-12,,2.06E-12,
2.56,,0.375,3.40E-13,,3.51E-13,
2.53,,0.388,3.01E-12,,3.11E-12,
2.74,,0.415,2.32E-12,,2.41E-12,
2.72,,0.352,3.45E-12,,3.56E-12,
2.70,,0.345,4.18E-15,,5.54E-15,
2.54,,0.467,1.21E-11,,1.20E-11,
2.58,,0.340,1.57E-13,,1.70E-13,
2.90,,0.08,,,,
2.92,,0.10,,,,
2.86,,0.10,,,,
2.92,,0.08,,,,
2.91,,0.11,,,,
2.92,,0.10,,,,
2.94,,0.09,,,,
2.93,,0.08,,,,
2.94,,0.09,,,,
2.90,,0.19,,,,
2.86,,0.21,,,,
2.92,,0.07,,,,
2.94,,0.08,,,,
3.04,,0.06,,,,
3.02,,0.05,,,,
2.87,,0.23,,,,
2.90,,0.24,,,,
2.96,,0.24,,,,
2.94,,0.29,,,,
2.59,,0.08,,,,
2.58,,0.20,,,,
2.58,,0.23,,,,
2.57,,0.22,,,,
2.59,,0.32,,,,
2.57,,0.26,,,,
2.60,,0.29,,,,
2.61,,0.28,,,,
2.58,,0.31,,,,
2.58,,0.27,,,,
2.59,,0.26,,,,
2.62,,0.09,,,,
2.58,,0.08,,,,
2.91,,0.24,,,,
2.93,,0.24,,,,
2.92,,0.27,,,,
2.99,,0.23,,,,
2.97,,0.26,,,,
2.93,,0.28,,,,
2.93,,0.09,,,,
2.91,,0.08,,,,
2.91,,0.09,,,,
2.92,,0.08,,,,
2.90,,0.08,,,,
2.92,,0.08,,,,
2.92,,0.09,,,,
2.92,,0.09,,,,
2.91,,0.10,,,,
2.90,,0.11,,,,
2.91,,0.13,,,,
2.88,,0.14,,,,
2.88,,0.22,,,,
2.93,,0.26,,,,
2.85,,0.21,,,,
2.88,,0.24,,,,
2.88,,0.24,,,,
2.85,,0.16,,,,
2.88,,0.15,,,,
2.90,,0.18,,,,
2.88,,0.23,,,,
2.88,,0.18,,,,
2.82,,0.21,,,,
2.75,,0.18,,,,
2.88,,0.21,,,,
2.93,,0.08,,,,
2.93,,0.08,,,,
2.94,,0.09,,,,
3.09,,0.05,,,,
2.99,,0.05,,,,
2.99,,0.06,,,,
2.51,,0.24,,,,
2.52,,0.23,,,,
2.56,,0.24,,,,
2.54,,0.22,,,,
2.56,,0.20,,,,
2.53,,0.28,,,,
2.53,,0.28,,,,
2.54,,0.29,,,,
2.51,,0.26,,,,
2.52,,0.15,,,,
2.54,,0.16,,,,
2.57,,0.17,,,,
2.56,,0.17,,,,
2.90,,0.24,,,,
2.73,,0.15,,,,
2.90,,0.26,,,,
2.90,,0.24,,,,
2.91,,0.18,,,,
2.89,,0.23,,,,
2.88,,0.25,,,,
2.83,,0.23,,,,
2.55,,0.16,,,,
2.94,,0.27,,,,
2.59,,0.146,,,,
2.93,,0.022,,,,
2.46,,0.203,,,,
2.80,,0.081,,,,
2.41,,0.199,,,,
2.71,,0.097,,,,
2.83,,0.022,,,,
2.80,,0.033,,,,
2.89,,0.083,,,,
2.70,,0.105,,,,
2.29,,0.192,,,,
2.82,,0.117,,,,
3.00,,0.137,9.88E-17,,9.88E-17,
2.75,,0.012,1.32E-16,,1.32E-16,
3.02,,0.029,2.39E-18,,2.39E-18,
2.78,,0.180,2.78E-17,,2.78E-17,
2.91,,0.121,1.53E-18,,1.53E-18,
2.86,,0.242,1.29E-16,,1.29E-16,
2.99,,0.136,4.34E-16,,4.34E-16,
2.84,,0.012,,,,
2.92,,0.008,,,,
2.66,,0.042,1.62E-15,,1.62E-15,
2.61,,0.079,4.23E-15,,4.23E-15,
2.89,,0.012,,,,
2.48,,0.028,1.91E-15,,1.91E-15,
2.90,,0.009,,,,
2.95,,0.006,,,,
2.95,,0.006,,,,
2.12,,0.279,9.64E-15,,9.64E-15,
2.70,,0.136,1.23E-15,,1.23E-15,
2.92,,0.032,,,,
2.45,,0.083,1.08E-13,,1.08E-13,
2.68,,0.360,3.26E-16,2.47E-17,3.26E-16,
2.71,,0.215,,,,
2.72,,0.065,5.46E-19,,5.46E-19,
2.62,,0.264,,7.50E-19,,
2.75,,0.275,,,,
2.86,,0.302,,,,
2.90,,0.221,3.63E-17,8.88E-19,3.63E-17,
3.04,,0.039,,,,
3.06,,0.047,1.23E-19,,1.23E-19,
2.67,,0.395,,2.57E-16,,
2.93,,0.105,,,,
2.83,,0.098,1.09E-17,1.48E-20,1.09E-17,
2.86,,0.216,,3.16E-18,,
2.86,,0.149,1.09E-17,9.28E-20,1.09E-17,
2.80,,0.139,,7.90E-19,,
2.76,,0.222,,,,
2.80,,0.178,,,,
2.81,,0.344,2.01E-17,6.91E-18,2.01E-17,
2.89,,0.099,,,,
2.82,,0.136,,,,
2.84,,0.177,,,,
2.85,,0.050,,,,
2.77,,0.237,,4.44E-19,,
2.61,,0.121,,7.30E-19,,
2.81,,0.139,,2.37E-18,,
2.75,,0.248,,6.91E-18,,
2.79,,0.234,1.46E-18,3.36E-19,1.46E-18,
2.84,,0.113,,,,
2.71,,0.306,,,,
3.03,,0.183,,,,
2.98,,0.214,,,,
2.93,,0.271,,,,
2.98,,0.244,6.99E-16,4.93E-16,6.99E-16,
3.01,,0.234,,,,
2.99,,0.240,,,,
2.96,,0.206,,,,
3.02,,0.103,,,,
2.95,,0.232,,1.58E-16,,
2.95,,0.281,,,,
2.77,,0.144,,,,
2.80,,0.159,,,,
2.77,,0.160,1.84E-17,9.87E-18,1.84E-17,
2.72,,0.303,,,,
2.88,,0.320,1.48E-15,6.91E-16,1.48E-15,
2.95,,0.127,,,,
2.84,,0.220,,,,
2.85,,0.185,,,,
2.88,,0.347,,,,
2.92,,0.185,,,,
2.92,,0.223,,,,
2.84,,0.252,,,,
2.83,,0.274,1.40E-16,7.90E-17,1.40E-16,
2.93,,0.347,4.97E-17,1.09E-16,4.97E-17,
2.91,,0.371,6.07E-18,5.72E-18,6.07E-18,
2.99,,0.310,,,,
2.91,,0.247,,,,
2.99,,0.099,,,,
,,0.160,5.68E-16,,,
,,0.107,5.68E-16,2.66E-17,5.68E-16,
2.91,,0.080,3.48E-18,9.87E-22,3.48E-18,
2.92,,0.342,6.92E-18,6.51E-18,6.92E-18,
2.93,,0.029,6.50E-19,1.88E-21,6.50E-19,
,,0.076,4.33E-17,1.68E-18,4.33E-17,
2.91,,0.237,6.13E-18,,6.13E-18,
,,0.113,2.82E-19,8.49E-20,2.82E-19,
2.86,,0.111,2.80E-18,7.90E-19,2.80E-18,
2.84,,0.240,2.51E-17,1.68E-17,2.51E-17,
,,0.244,2.37E-16,5.92E-19,2.37E-16,
2.69,,0.279,2.17E-17,5.92E-19,2.17E-17,
,,0.251,4.02E-17,8.88E-19,4.02E-17,
2.72,,0.305,5.11E-17,5.53E-18,5.11E-17,
2.80,,0.248,2.11E-17,9.28E-19,2.11E-17,
2.69,,0.253,7.46E-17,1.88E-17,7.46E-17,
2.96,,0.170,1.93E-18,,1.93E-18,
2.97,,0.124,1.70E-19,,1.70E-19,
2.75,,0.211,8.71E-17,8.39E-19,8.71E-17,
3.00,,0.019,1.08E-20,,1.08E-20,
2.82,,0.366,2.75E-16,1.18E-18,2.75E-16,
2.86,,0.059,3.59E-19,,3.59E-19,
2.93,,0.043,1.63E-18,,1.63E-18,
2.79,,0.154,4.35E-17,1.28E-19,4.35E-17,
2.75,,0.051,1.22E-18,8.78E-22,1.22E-18,
2.85,,0.042,7.06E-20,,7.06E-20,
2.92,,0.099,4.72E-19,2.57E-21,4.72E-19,
2.86,,0.073,6.17E-19,3.65E-21,6.17E-19,
2.77,,0.148,1.18E-18,1.78E-19,1.18E-18,
2.94,,0.113,,,,
2.91,,0.051,,,,
2.89,,0.049,,,,
2.59,,0.269,,1.97E-19,,
2.75,,0.390,,3.75E-18,,
2.71,,0.401,,6.42E-19,,
2.78,,0.387,,2.17E-17,,
2.74,,0.365,,2.07E-17,,
2.77,,0.310,,,,
2.70,,0.066,,,,
2.71,,0.226,,,,
2.68,,0.340,,,,
2.57,,0.252,,,,
2.73,,0.246,,,,
2.75,,0.175,,,,
2.93,,0.224,,,,
2.69,,0.258,,,,
2.55,,0.193,,,,
2.21,,0.221,,,,
2.57,,0.176,,,,
2.84,,0.199,,,,
2.69,,0.260,,,,
2.71,,0.147,,,,
2.86,,0.055,,,,
2.94,,0.052,,,,
2.95,,0.140,,,,
2.82,,0.468,,,,
2.93,,0.028,,,,
2.66,,0.482,,,,
2.73,,0.469,,,,
2.66,,0.396,,,,
2.40,,0.350,,,,
2.63,,0.303,,,,
2.83,,0.157,,,,
2.89,,0.077,,,,
2.89,,0.047,,,,
2.70,,0.258,,,,
2.77,,0.165,,,,
2.81,,0.145,,,,
2.77,,0.030,,,,
3.01,,0.029,,,,
3.04,,0.027,,,,
3.04,,0.027,,,,
3.00,,0.022,,,,
3.00,,0.018,,,,
3.02,,0.017,,,,
3.02,,0.018,,,,
3.01,,0.020,,,,
3.02,,0.020,,,,
3.01,,0.020,,,,
3.01,,0.022,,,,
3.03,,0.018,,,,
3.04,,0.003,,,,
3.01,,0.009,,,,
3.03,,0.027,,,,
3.03,,0.025,,,,
3.05,,0.028,,,,
3.05,,0.029,,,,
3.05,,0.017,,,,
3.05,,0.015,,,,
3.04,,0.015,,,,
2.89,,0.016,,,,
2.89,,0.016,,,,
2.87,,0.018,,,,
