mean_phi_weighted,sorting_phi_weighted,skewness_phi_weighted,mean_mm_weighted,mean_um_weighted,phi5,phi16,phi25,phi50,phi75,phi84,phi95,mean_phi_graphic,sorting_phi_graphic,skewness_phi_graphic,kurtosis_phi_graphic
5.586628594747328,2.346076448239201,0.9094156384144516,0.020809287879249443,20.809287879249442,9.965784284662087,9.965784284662087,7.759609662728811,4.152360455103817,3.962707095707995,3.894431886325499,3.7230575400008172,6.004192208697134,-2.4637057881691877,-0.4575171144984132,0.6738372982511406
6.009323327093992,2.1209360174797114,0.5222985447518083,0.01552434998052754,15.52434998052754,9.965784284662087,9.261356506563798,7.912071783940933,5.9677971102873455,4.403568470365673,4.1851276812715446,3.916024615146469,6.471427099374229,-2.185687459279975,-0.14882012013846366,0.7066858654594141
7.472869063035068,2.9141380681650078,-0.37230952349042423,0.005629142701258497,5.6291427012584965,9.965784284662087,9.965784284662087,9.965784284662087,9.965784284662087,4.204942185799528,4.046400115389588,3.8863583336540213,7.99265622823792,-2.400971186410256,0.5,0.43250066048506475
5.732390403733425,2.349965403582568,0.7776445743279198,0.018809555890844147,18.80955589084415,9.965784284662087,9.965784284662087,8.084525487644635,4.464246467336262,4.0157701093157945,3.94444048267145,3.857259827883918,6.124823744889933,-2.4308699591004124,-0.41367276113797613,0.6152971601982565
6.169300628350747,2.207315261759103,0.5259960341750832,0.01389490105710932,13.89490105710932,9.965784284662087,9.965784284662087,8.253837656956804,6.10884638609388,4.221673172018403,4.058039517697629,3.908811369863114,6.710890062817865,-2.3946593606500497,-0.15286129491169506,0.6156410429089989
6.167430932097105,2.1076806965377792,0.6296472176561041,0.013912920170789357,13.912920170789357,9.965784284662087,9.935304236571296,8.06114965279339,6.035369161675522,4.511449764289936,4.296775195697431,3.9824651400711195,6.755816197981416,-2.3161957669746736,-0.19165824040721047,0.6908133234680903
5.695831098312978,2.0594279096055774,1.0092963215724389,0.019292299221898592,19.292299221898592,9.965784284662087,8.658190221567134,7.426798795435183,4.967159485493838,4.298644733982471,4.1298373181689865,3.9201623256420106,5.918395675076653,-2.0480915529737906,-0.3150934379039868,0.7920690186469046
6.019014304899969,2.158148488972419,0.5403208460855343,0.015420418129077651,15.420418129077651,9.965784284662087,9.463235199067574,8.09983004840374,5.949427289794859,4.12063553863955,4.014340408738174,3.884424138858714,6.475667632533536,-2.283641901491952,-0.1448661691007426,0.6263480484247261
6.014986373903231,2.1786655438022393,0.5645035790193202,0.015463531307158714,15.463531307158714,9.965784284662087,9.507906228898198,8.180821783940932,5.854417788107929,4.122061720675963,4.019777727751997,3.894763958622706,6.460700581586042,-2.291883689837972,-0.16570752489254478,0.6130254180240604
5.7649891378242994,2.1814471893890706,0.9493105977469946,0.018389306223198544,18.389306223198545,9.965784284662087,9.655007323736372,7.82400360212275,4.76626049536938,4.340083456491746,4.23181280450596,3.9962611516011024,6.2176935412039045,-2.2602718317865405,-0.40145149893327786,0.702233625323869
5.941540052222076,1.9903585850354675,0.8113582089648196,0.016271149066525672,16.271149066525673,9.965784284662087,9.049179464967924,7.889750355369502,5.439583570475273,4.471726151943376,4.326382280600591,4.1243346982964955,6.27171510534793,-2.065767415238135,-0.2642919552930565,0.7004153783708997
5.775451866298358,2.0534941304266114,0.9540644716226123,0.018256425520882892,18.256425520882892,9.965784284662087,9.004413587503354,7.70040941280691,4.966136970486006,4.387154407827495,4.250828221932985,3.998023849546791,6.073792926640781,-2.0926024679252127,-0.3495222671851201,0.7381875084588188
5.998318091126124,2.2366848207894794,0.7225753637678595,0.015643226409609037,15.643226409609037,9.965784284662087,9.965784284662087,8.180821783940932,5.12388952246703,4.275616421224392,4.093562078203131,3.9236715714376835,6.394411961777416,-2.383527174830558,-0.3245421566080001,0.6340961542720512
5.681259757580381,2.137232282364935,1.0351589639633578,0.019488140401005296,19.488140401005296,9.965784284662087,9.360616784386737,7.532336935456082,4.725914956366543,4.319899283073197,4.2122526694273885,3.96837091836335,6.099594803393557,-2.1957900236335854,-0.40022805779283727,0.7651374325787093
5.402840835923807,1.96400258556192,1.339395463059843,0.02363648248810484,23.636482488104843,9.965784284662087,8.108094511213658,6.599571783940931,4.656169210216034,4.2540990234552,4.119223861043227,3.9231963532369414,5.62782919415764,-1.9127612885161147,-0.36538912984058153,1.0558513001813632
5.94232972422553,2.2775104359831593,0.7337188143307285,0.01626224534488857,16.26224534488857,9.965784284662087,9.965784284662087,8.180821783940932,5.148887919933746,4.127154064768117,4.022903071980229,3.8954851919061433,6.379191758858688,-2.405462589951668,-0.3105321631617484,0.6137226012049125
6.407972045385963,2.2968048006506048,0.4210894607921711,0.011776282163752096,11.776282163752096,9.965784284662087,9.965784284662087,9.203397258998748,6.300058431155596,4.4734943255606865,4.200841953771666,3.9410438337836253,6.82222822319645,-2.3540750449769177,-0.1358651384705706,0.5220309924407682
