Grain size percentage. grain size in 10^(-6) m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal permeability (mDarcy),Grain density (g/cm3),Helium porosity (dimensionless)
0-2,2-4,4-8,8-16,16-25,25-35,35-50,50-63,63-75,75-88,88-105,105-125,125-150,150-177,177-210,210-250,250-300,300-354,354-420,420-500,500-600,600-707,707-850,850-1000,1000-1190,1190-1410,1410-1680,1680-2000,Horizontal permeability (mDarcy),Grain density (g/cm3),Helium porosity (dimensionless)
34.2,8.2,10.8,14.9,14.3,7.2,6.5,2.5,0.8,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,16.7,2.6,0.191
6.2,10.9,14.1,13.7,8.4,5.2,4,2.9,12.2,10.7,6.7,3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0,0,,,
6.7,8.5,11.4,11,7.7,5.4,5.9,7.4,11.7,11.4,7.6,3.8,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.1,0,0,0,19,2.63,0.3
5.8,10.5,12.1,12.2,8.7,5.3,4.6,3.5,11.2,12.8,8.5,4.1,0.4,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,7.52,2.61,0.304
5.7,8.6,10.9,10.4,7.8,5.5,6.3,6.3,11.1,12.5,8.9,4.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,7.25,2.61,0.312
5.1,8.9,11.4,11.1,8.5,5.7,6.1,6.1,12.7,12.5,7.9,3.3,0.3,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,7.33,2.62,0.317
9.4,8.6,12.7,12,8,5,5.2,4.8,13.4,11.4,6.3,2.5,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,26.4,2.62,0.329
9.5,8.2,12.1,11.5,8,5.4,5.8,5.1,13.5,10.9,6.3,3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,,,
6.6,9.7,13.6,12.3,7.9,4.8,4.7,3.3,10.6,10.6,9.2,5.9,0.5,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,6.51,2.6,0.293
0.9,1.9,2.4,1.9,0.8,0.5,0.5,0.3,4.9,10.7,24.3,30.6,9.8,8.1,1.2,0.3,0.3,0.3,0,0.1,0.1,0,0.1,0,0,0,0,0,1150,2.64,0.349
10.5,2.7,3.8,4.3,3.9,3,4.8,4.9,0.4,0.7,1,1.8,3.5,4,13.5,13.1,12.3,11.4,0.2,0.1,0.1,0,0,0,0,0,0,0,101,2.6,0.312
1.8,2.8,3.4,3,1.6,1.1,1,0.6,6.3,12.4,22.6,35.6,5.9,1.3,0.2,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,1350,2.66,0.368
5.9,4.2,4.6,3.5,2,1.3,1.4,2.4,7.8,18.6,24.9,20.6,2,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,244,2.69,0.314
